categoria_principal,shop,amenity,office,tourism,leisure,craft,healthcare,name,addr:street,addr:housenumber,lat,lon,tipo_actividad
tourism,,,,information,,,,Cocculus Taurifolius,,,41.3891534,2.1849716,information
tourism,,,,hostel,,,,Hostal Portugal,Carrer de Josep Anselm Clavé,27,41.3779254,2.1782141,hostel
tourism,,,,information,,,,GR 92,,,41.4198653,2.0955618,information
tourism,,,,information,,,,GR 92,,,41.4202966,2.0945433,information
tourism,,,,information,,,,Coll fe Can Cuyàs,,,41.408454,2.0909715,information
tourism,,,,information,,,,"La bassa ""refugi""",,,41.4133517,2.0967559,information
tourism,,,,information,,,,Muna Grott,,,41.416227,2.0977609,information
tourism,,,,guest_house,,,,Hostal Europa,Carrer de la Boqueria,18,41.3815068,2.174396,guest_house
tourism,,,,hotel,,,,SM Hotel Teatre Auditori,Carrer de Ribes,71,41.3999177,2.1840505,hotel
tourism,,,,apartment,,,,Jazz BCN Apartments,Carrer de la Indústria,207,41.4116363,2.1769553,apartment
tourism,,,,information,,,,Portal de la Pau,,,41.3755693,2.1781774,information
tourism,,,,hotel,,,,Upper Diagonal Hotel,,,41.3906238,2.1214398,hotel
tourism,,,,artwork,,,,El Encantador de Serpientes,,,41.3924048,2.1225988,artwork
tourism,,,,information,,,,SEAT: lluita i solidaritat,,,41.3563501,2.141425,information
tourism,,,,information,,,,El 43 de la Via Laietana,,,41.3863933,2.1754403,information
tourism,,,,information,,,,Habitats del parc,,,41.4151183,2.1706795,information
tourism,,,,museum,,,,Cases Barates del Districte de Sant Andreu,Carrer de Barnola,22,41.4372558,2.2058929,museum
tourism,,,,information,,,,Fem memòria del barri de l'Estadella,,,41.4350801,2.203893,information
tourism,,,,information,,,,Fem memòria del barri de l'Estadella,,,41.4351419,2.20388,information
tourism,,,,information,,,,Fem memòria del barri de l'Estadella,,,41.4351901,2.2038736,information
tourism,,,,information,,,,Fem memòria del barri de l'Estadella,,,41.4350084,2.203894,information
tourism,,,,information,,,,Fem memòria del barri de l'Estadella,,,41.4349416,2.2039108,information
tourism,,,,information,,,,PARC DE LA CIUTADELLA,,,41.3887357,2.1835752,information
tourism,,,,information,,,,PLAÇA D’ARME DE LA CIUTADELLA,,,41.3881095,2.1876253,information
tourism,,,,information,,,,LES AUS DEL PARC,,,41.3883189,2.1873502,information
tourism,,,,caravan_site,,,,Wheels Rest,Passeig de Valldaura,15,41.4373145,2.1552295,caravan_site
tourism,,,,information,,,,Pistes Esportives,,,41.3953628,2.2043386,information
tourism,,,,information,,,,Centre de Diagnòstic Biomèdic,,,41.3842704,2.1244465,information
tourism,,,,hotel,,,,Casa Luz,Ronda de la Universitat,1,41.386281,2.164843,hotel
tourism,,,,artwork,,,,Freddie Mercury,,,41.371155,2.1505485,artwork
tourism,,,,artwork,,,,Montserrat Caballé,,,41.3711369,2.1504984,artwork
tourism,,,,hotel,,,,Duquesa Suites,,,41.3811206,2.1814183,hotel
tourism,,,,hotel,,,,Hostal Oliveta,,,41.3741326,2.1655237,hotel
tourism,,,,hotel,,,,Hotel Peninsular,Carrer Sant Pau,34,41.3796312,2.1724606,hotel
tourism,,,,artwork,,,,Cirque en fer,,,41.3890684,2.1348149,artwork
tourism,,,,attraction,,,,Derruits nomes queda cantonada,,,41.4055578,2.1853012,attraction
tourism,,,,artwork,,,,Petit paisatge de Barcelona,,,41.394384,2.1518724,artwork
tourism,,,,viewpoint,,,,Mirador,,,41.3870092,2.1037497,viewpoint
tourism,,,,attraction,,,,NO bicii patinets,,,41.3882139,2.14314,attraction
tourism,,,,artwork,,,,El viatger,,,41.3834531,2.1095211,artwork
tourism,,,,apartment,,,,Kim Rent appartament,Carrer de Josep Serrano,4,41.4167586,2.159718,apartment
tourism,,,,guest_house,,,,Hostal El Ninot,,,41.3918961,2.1522165,guest_house
tourism,,,,zoo,park,,,Parc Zoològic de Barcelona,,,41.3872847688212,2.189275153705076,zoo
tourism,,,,museum,,,,Centre de Cultura Contemporània de Barcelona,Carrer de Montalegre,5,41.38369546464749,2.166571569079971,museum
tourism,,,,attraction,,,,Palau de la Generalitat de Catalunya,,,41.383092069501785,2.176327468591252,attraction
tourism,,,,museum,,,,Fundació Joan Miró,Parc de Montjuïc,,41.36861022403042,2.159859115585128,museum
tourism,,,,attraction,,,,Llotja de Mar,,,41.38234901794303,2.1825694757235943,attraction
tourism,,,,hotel,,,,Catalonia Barcelona Plaza,,,41.37556639173083,2.1481069613409414,hotel
tourism,,,,museum,,,,Disseny Hub Barcelona (DHUB),Plaça de les Glòries Catalanes,37,41.40254394642847,2.188010703940572,museum
tourism,,,,hotel,,,,Hotel Miramar Barcelona,3,,41.37017196100779,2.1713604434574334,hotel
tourism,,,,hotel,,,,la Rotonda,,,41.41063681220215,2.1373691836967788,hotel
tourism,,,,museum,,,,Torre de les Aigües del Besòs,Plaça Ramon Calsina,1,41.40578509710414,2.212298490707157,museum
tourism,,,,hotel,,,,Hotel Serhs Rivoli Rambla,,,41.38430906476186,2.171282813314624,hotel
tourism,,,,museum,,,,Saló del Tinell,,,41.38431304526363,2.177115552318602,museum
tourism,,,,museum,,,,Museu Diocesà,Pla de la Seu,7,41.38459175240497,2.1762809303887227,museum
tourism,,,,museum,,,,Sant Pau Recinte Modernista,Carrer de Sant Antoni Maria Claret,167,41.41276597328357,2.174333300230633,museum
tourism,,,,attraction,,,,Plaça Reial,,,41.38009019478488,2.1752697717076366,attraction
tourism,,,,yes,,,,Plaça de Sant Felip Neri,,,41.38337803232701,2.1750829445249784,yes
tourism,,,,attraction,,,,Cases dels Canonges,,,41.38342203563938,2.176621059598548,attraction
tourism,,,,artwork,,,,Casa Milà,Carrer de Provença,261-265,41.39537365912225,2.161877323762179,artwork
tourism,,,,aquarium,,,,l'Aquàrium Barcelona,,7,41.3767683667787,2.1843483589176627,aquarium
tourism,,,,hotel,,,,Hotel ILUNION Les Corts Spa,Carrer del Cardenal Reig,11B,41.37763454791475,2.1135714494586595,hotel
tourism,,,,museum,,,,Fundació Suñol,Carrer de Mejía Lequerica,14,41.38265797397918,2.126585121893759,museum
tourism,,,,hostel,,,,Hostal Poblenou B&B,,,41.39824415732939,2.204472644238734,hostel
tourism,,,,hotel,,,,Aparthotel Silver,Carrer de Bretón de los Herreros,26,41.40218560499172,2.1510483705744483,hotel
tourism,,,,hotel,,,,El Palauet Barcelona,Passeig de Gràcia,113,41.39686459066751,2.1583111880778816,hotel
tourism,,,,hotel,,,,NH Gran Hotel Calderón,,,41.389459589105,2.1663219837709597,hotel
tourism,,,,hotel,,,,Mandarin Oriental,Passeig de Gràcia,38-40,41.3913860526323,2.1669177016730137,hotel
tourism,,,,hotel,,,,Sixtytwo,Passeig de Gràcia,62,41.39301164117788,2.164594823966338,hotel
tourism,,,,artwork,,,,Casa Amatller,Passeig de Gràcia,41,41.39132974178644,2.164764826211393,artwork
tourism,,,,artwork,,,,Casa Batlló,Passeig de Gràcia,43,41.39152955620394,2.1647491898186857,artwork
tourism,,,,hotel,,,,Hotel Oriente,,,41.37971260570865,2.1739970606145294,hotel
tourism,,,,hotel,,,,Hotel Gaudí,,,41.37901645179146,2.1738337653522497,hotel
tourism,,,,apartment,,,,MH Apartaments Ramblas,,,41.37874533702277,2.173506565627073,apartment
tourism,,,,museum,,,,Museu d'Arqueologia de Catalunya,Passeig de Santa Madrona,39-41,41.36978253140756,2.1576649504976952,museum
tourism,,,,hotel,,,,Hotel Espanya,Carrer Sant Pau;Carrer de Sant Pau,9;9-11,41.37990503328526,2.1729948251659508,hotel
tourism,,,,hotel,,,,Romm Mate Gerard,,,41.39147799705478,2.176338429146251,hotel
tourism,,,,hotel,,,,Hotel Catalonia Catedral,,,41.38486651236272,2.174631717554646,hotel
tourism,,,,hotel,,,,Hotel Colon,,,41.38505553808134,2.1756749335205594,hotel
tourism,,,,information,,,,Palau Moja,,,41.38334673200373,2.171885463831806,information
tourism,,,,hotel,,,,Hotel Catalònia Born,,,41.3897064188072,2.180216811240326,hotel
tourism,,,,hostel,,,,Alberg Campus del Mar,Passeig de Joan Salvat Papasseit,4,41.38249670133157,2.190977670630954,hostel
tourism,,,,museum,,,,Museu Marítim,Avinguda de les Drassanes,,41.37534546627635,2.1759295418974207,museum
